ablation_case,metric,device,n,q,median_us
inline_literal,batch_distance_matrix,cpu,2048,256,3684.09
prebuilt_no_readback,batch_distance_matrix,cpu,2048,256,2236.36
prebuilt_with_readback,batch_distance_matrix,cpu,2048,256,1.09951e+07
inline_literal,batch_distance_matrix,cuda:0,2048,256,2597.62
prebuilt_no_readback,batch_distance_matrix,cuda:0,2048,256,313.571
prebuilt_with_readback,batch_distance_matrix,cuda:0,2048,256,1.12437e+07
inline_literal,nearest_point,cpu,2048,256,3967.97
prebuilt_no_readback,nearest_point,cpu,2048,256,1755.48
prebuilt_with_readback,nearest_point,cpu,2048,256,11056.1
inline_literal,nearest_point,cuda:0,2048,256,2992.23
prebuilt_no_readback,nearest_point,cuda:0,2048,256,506.829
prebuilt_with_readback,nearest_point,cuda:0,2048,256,10588.6
inline_literal,range_count_circle,cpu,2048,256,2758.81
prebuilt_no_readback,range_count_circle,cpu,2048,256,543.843
prebuilt_with_readback,range_count_circle,cpu,2048,256,4668.86
inline_literal,range_count_circle,cuda:0,2048,256,2742.81
prebuilt_no_readback,range_count_circle,cuda:0,2048,256,219.879
prebuilt_with_readback,range_count_circle,cuda:0,2048,256,5177.61
