metric,device,n,q,time_us,throughput_items_per_s
batch_distance_matrix,cpu,128,64,51.543,1.58935e+08
nearest_point,cpu,128,64,40.575,2.01898e+08
range_count_circle,cpu,128,64,29.291,2.79676e+08
batch_distance_matrix,cuda:0,128,64,43.178,1.89726e+08
nearest_point,cuda:0,128,64,67.323,1.21682e+08
range_count_circle,cuda:0,128,64,51.583,1.58812e+08
batch_distance_matrix,cpu,192,64,67.068,1.83217e+08
nearest_point,cpu,192,64,48.356,2.54115e+08
range_count_circle,cpu,192,64,31.624,3.88566e+08
batch_distance_matrix,cuda:0,192,64,43.481,2.82606e+08
nearest_point,cuda:0,192,64,80.368,1.52897e+08
range_count_circle,cuda:0,192,64,55.701,2.20606e+08
batch_distance_matrix,cpu,256,96,110.55,2.22307e+08
nearest_point,cpu,256,96,72.981,3.36745e+08
range_count_circle,cpu,256,96,38,6.46737e+08
batch_distance_matrix,cuda:0,256,96,43.406,5.66189e+08
nearest_point,cuda:0,256,96,92.558,2.6552e+08
range_count_circle,cuda:0,256,96,60.246,4.07927e+08
batch_distance_matrix,cpu,384,128,184.846,2.65908e+08
nearest_point,cpu,384,128,119.682,4.10688e+08
range_count_circle,cpu,384,128,50.438,9.74503e+08
batch_distance_matrix,cuda:0,384,128,43.35,1.13384e+09
nearest_point,cuda:0,384,128,118.28,4.15556e+08
range_count_circle,cuda:0,384,128,71.379,6.88606e+08
batch_distance_matrix,cpu,512,160,290.138,2.82348e+08
nearest_point,cpu,512,160,256.563,3.19298e+08
range_count_circle,cpu,512,160,68.174,1.20163e+09
batch_distance_matrix,cuda:0,512,160,46.698,1.75425e+09
nearest_point,cuda:0,512,160,144.762,5.65894e+08
range_count_circle,cuda:0,512,160,79.418,1.0315e+09
batch_distance_matrix,cpu,768,192,530.009,2.78214e+08
nearest_point,cpu,768,192,303.855,4.85284e+08
range_count_circle,cpu,768,192,107.024,1.37778e+09
batch_distance_matrix,cuda:0,768,192,44.538,3.31079e+09
nearest_point,cuda:0,768,192,196.754,7.49443e+08
range_count_circle,cuda:0,768,192,97.776,1.5081e+09
batch_distance_matrix,cpu,1024,256,875.164,2.99537e+08
nearest_point,cpu,1024,256,522.147,5.0205e+08
range_count_circle,cpu,1024,256,158.877,1.64998e+09
batch_distance_matrix,cuda:0,1024,256,258.586,1.01376e+09
nearest_point,cuda:0,1024,256,264.447,9.91291e+08
range_count_circle,cuda:0,1024,256,123.295,2.12615e+09
batch_distance_matrix,cpu,1536,256,1305.55,3.01188e+08
nearest_point,cpu,1536,256,762.063,5.15989e+08
range_count_circle,cpu,1536,256,225.587,1.74308e+09
batch_distance_matrix,cuda:0,1536,256,256.914,1.53054e+09
nearest_point,cuda:0,1536,256,378.692,1.03835e+09
range_count_circle,cuda:0,1536,256,165.775,2.37199e+09
batch_distance_matrix,cpu,2048,256,1749.73,2.99639e+08
nearest_point,cpu,2048,256,1006.83,5.2073e+08
range_count_circle,cpu,2048,256,291.347,1.79953e+09
batch_distance_matrix,cuda:0,2048,256,1705.13,3.07478e+08
nearest_point,cuda:0,2048,256,491.759,1.06615e+09
range_count_circle,cuda:0,2048,256,205.765,2.54799e+09
batch_distance_matrix,cpu,3072,384,7969.65,1.48018e+08
nearest_point,cpu,3072,384,3868.08,3.0497e+08
range_count_circle,cpu,3072,384,1144.82,1.03042e+09
batch_distance_matrix,cuda:0,3072,384,491.233,2.4014e+09
nearest_point,cuda:0,3072,384,727.083,1.62244e+09
range_count_circle,cuda:0,3072,384,299.909,3.93335e+09
batch_distance_matrix,cpu,4096,512,14188.5,1.47806e+08
nearest_point,cpu,4096,512,6842.31,3.06498e+08
range_count_circle,cpu,4096,512,1991.79,1.0529e+09
batch_distance_matrix,cuda:0,4096,512,706.151,2.96984e+09
nearest_point,cuda:0,4096,512,952.379,2.20201e+09
range_count_circle,cuda:0,4096,512,381.002,5.50431e+09
batch_distance_matrix,cpu,6144,768,54788.6,8.61235e+07
nearest_point,cpu,6144,768,10183.4,4.6336e+08
range_count_circle,cpu,6144,768,2604.2,1.81192e+09
batch_distance_matrix,cuda:0,6144,768,1236.22,3.81695e+09
nearest_point,cuda:0,6144,768,1401.8,3.3661e+09
range_count_circle,cuda:0,6144,768,538.346,8.76498e+09
batch_distance_matrix,cpu,8192,1024,58757.3,1.42767e+08
nearest_point,cpu,8192,1024,27231.4,3.08049e+08
range_count_circle,cpu,8192,1024,7851.14,1.06846e+09
batch_distance_matrix,cuda:0,8192,1024,1106.98,7.57789e+09
nearest_point,cuda:0,8192,1024,1867.95,4.4908e+09
range_count_circle,cuda:0,8192,1024,721.431,1.16277e+10
