metric,gpu_count,n,total_q,per_gpu_q,rounds,time_us,total_work_items,throughput_items_per_s,speedup_vs_1gpu,parallel_efficiency
batch_distance_matrix,1,32768,4096,4096,3,2019.93,1.34218e+08,6.64469e+10,1,1
batch_distance_matrix,2,32768,8192,4096,3,4227.79,2.68435e+08,6.34932e+10,0.955548,0.477774
batch_distance_matrix,4,32768,16384,4096,3,8326.37,5.36871e+08,6.44784e+10,0.970375,0.242594
batch_distance_matrix,8,32768,32768,4096,3,14400.3,1.07374e+09,7.45637e+10,1.12216,0.140269
nearest_point,1,32768,4096,4096,3,7594.55,1.34218e+08,1.76729e+10,1,1
nearest_point,2,32768,8192,4096,3,7587.79,2.68435e+08,3.53773e+10,2.00178,1.00089
nearest_point,4,32768,16384,4096,3,7617.63,5.36871e+08,7.04774e+10,3.98788,0.996969
nearest_point,8,32768,32768,4096,3,16252.4,1.07374e+09,6.60668e+10,3.73831,0.467289
range_count_circle,1,32768,4096,4096,3,2870.23,1.34218e+08,4.6762e+10,1,1
range_count_circle,2,32768,8192,4096,3,2894.56,2.68435e+08,9.27379e+10,1.98319,0.991594
range_count_circle,4,32768,16384,4096,3,2893.34,5.36871e+08,1.85554e+11,3.96805,0.992014
range_count_circle,8,32768,32768,4096,3,2906.9,1.07374e+09,3.69377e+11,7.89907,0.987384
