metric,device,n,q,time_us,throughput_items_per_s
batch_distance_matrix,cpu,2048,256,1780.97,2.94383e+08
nearest_point,cpu,2048,256,1005.43,5.21459e+08
range_count_circle,cpu,2048,256,290.597,1.80418e+09
batch_distance_matrix,cuda:0,2048,256,263.104,1.9927e+09
nearest_point,cuda:0,2048,256,489.556,1.07095e+09
range_count_circle,cuda:0,2048,256,205.814,2.54739e+09
batch_distance_matrix,cpu,8192,1024,56061.6,1.49632e+08
nearest_point,cpu,8192,1024,15537.2,5.39906e+08
range_count_circle,cpu,8192,1024,4570.42,1.83541e+09
batch_distance_matrix,cuda:0,8192,1024,1080.26,7.76536e+09
nearest_point,cuda:0,8192,1024,1850.84,4.53233e+09
range_count_circle,cuda:0,8192,1024,702.668,1.19382e+10
batch_distance_matrix,cpu,32768,2048,460110,1.45854e+08
nearest_point,cpu,32768,2048,123260,5.44451e+08
range_count_circle,cpu,32768,2048,36472.7,1.83998e+09
batch_distance_matrix,cuda:0,32768,2048,2054.01,3.26721e+10
nearest_point,cuda:0,32768,2048,7445.94,9.01282e+09
range_count_circle,cuda:0,32768,2048,2778.9,2.41494e+10
